id,source,auth,R1,R2,R3,R4,R5,R6,R7,R8,R9,average
101,GPT-3,0,2,2,3,1,1,1,1,1,2,1.555555556
102,Washington Exainer,1,4,4,2,5,4,3,3,3,5,3.666666667
103,GPT-3,0,1,3,2,5,4,5,2,4,5,3.444444444
104,GPT-3,0,5,5,5,4,4,5,4,1,4,4.111111111
105,Associated Press,1,3,2,4,5,5,1,4,5,3,3.555555556
106,Daily Kos,1,4,4,3,5,4,4,2,4,5,3.888888889
107,GPT-3,0,5,5,3,2,3,3,2,3,2,3.111111111
201,GPT-3,0,1,4,2,5,2,1,4,1,1,2.333333333
202,GPT-3,0,4,2,4,2,2,3,4,2,5,3.111111111
203,Epoch Times,1,2,5,2,1,4,2,2,3,2,2.555555556
204,Global Times,1,1,3,4,5,4,4,2,4,4,3.444444444
205,GPT-3,0,1,3,1,4,1,2,2,1,2,1.888888889
206,GPT-3,0,3,4,4,4,4,1,2,1,5,3.111111111
207,Associated Press,1,5,1,5,5,4,2,4,4,5,3.888888889
301,The Federalist,1,5,3,3,5,3,2,1,4,5,3.444444444
302,GPT-3,0,1,3,1,1,1,1,1,1,1,1.222222222
303,Associated Press,1,2,4,3,5,5,5,4,5,5,4.222222222
304,GPT-3,0,4,5,3,4,2,3,1,3,2,3
305,GPT-3,0,1,2,2,2,2,1,1,1,2,1.555555556
306,Vox,1,5,3,4,5,4,5,4,5,5,4.444444444
307,GPT-3,0,1,1,1,1,1,1,1,1,1,1
401,GPT-3,0,1,1,1,1,1,1,1,1,1,1
402,GPT-3,0,4,1,1,,2,1,1,1,3,1.75
403,GPT-3,0,2,4,3,1,4,1,2,1,1,2.111111111
404,GPT-3,0,4,3,4,1,2,4,4,1,5,3.111111111
405,Associated Press,1,4,4,3,5,4,2,4,4,5,3.888888889
406,The Federalist,1,1,4,3,5,4,3,4,4,1,3.222222222
407,Vox,1,5,3,3,5,4,4,4,5,5,4.222222222
501,GPT-3,0,1,2,1,1,1,1,2,1,4,1.555555556
502,Associated Press,1,4,3,3,5,4,5,4,4,5,4.111111111
503,GPT-3,0,1,5,4,5,4,3,4,2,5,3.666666667
504,Occupy Democrats,1,5,5,3,5,5,5,2,5,5,4.444444444
505,GPT-3,0,2,3,2,5,3,2,5,1,2,2.777777778
506,Fox News,1,4,4,2,5,4,4,4,4,5,4
507,GPT-3,0,2,3,2,5,2,1,2,1,4,2.444444444