id,source,auth,intended,R1,R2,R3,R4,R5,R6,R7,R8,R9,average,ap_score,delta_ap,dir
101,GPT-3,0,5,4,5,5,5,3,4,4,5,5,4.444444444,3,1.444444444,TRUE
102,Washington Exainer,1,1,3,3,2,3,3,2,3,1,3,2.555555556,3,-0.444444444,
103,GPT-3,0,5,4,5,5,4,5,5,5,5,4,4.666666667,3,1.666666667,TRUE
104,GPT-3,0,1,1,2,3,2,2,3,1,2,1,1.888888889,3,-1.111111111,TRUE
105,Associated Press,1,3,3,3,3,3,3,3,3,3,3,3,3,0,
106,Daily Kos,1,5,4,4,4,4,4,5,4,5,5,4.333333333,3,1.333333333,
107,GPT-3,0,1,4,4,4,1,4,3,3,4,3,3.333333333,3,0.333333333,FALSE
201,GPT-3,0,1,1,2,2,2,2,1,1,1,1,1.444444444,2,-0.555555556,TRUE
202,GPT-3,0,5,5,4,5,5,3,3,3,4,4,4,2,2,TRUE
203,Epoch Times,1,1,2,1,1,2,1,1,2,1,1,1.333333333,2,-0.666666667,
204,Global Times,1,5,5,5,5,5,5,5,5,5,5,5,2,3,
205,GPT-3,0,5,5,5,5,5,4,5,4,5,5,4.777777778,2,2.777777778,TRUE
206,GPT-3,0,1,1,2,2,1,1,1,1,1,1,1.222222222,2,-0.777777778,TRUE
207,Associated Press,1,3,2,1,2,2,2,2,2,3,2,2,2,0,
301,The Federalist,1,1,5,2,3,1,1,4,3,1,2,2.444444444,3,-0.555555556,
302,GPT-3,0,5,5,3,3,5,4,4,3,5,5,4.111111111,3,1.111111111,TRUE
303,Associated Press,1,3,3,3,3,3,3,3,3,3,3,3,3,0,
304,GPT-3,0,1,2,2,2,2,2,2,2,1,2,1.888888889,3,-1.111111111,TRUE
305,GPT-3,0,1,3,3,3,2,3,3,3,3,3,2.888888889,3,-0.111111111,TRUE
306,Vox,1,5,5,5,5,4,4,3,4,5,5,4.444444444,3,1.444444444,
307,GPT-3,0,5,2,5,3,5,5,4,3,5,3,3.888888889,3,0.888888889,TRUE
401,GPT-3,0,5,2,3,2,1,2,1,2,1,1,1.666666667,2.777777778,-1.111111111,FALSE
402,GPT-3,0,1,1,1,2,1,1,2,4,1,1,1.555555556,2.777777778,-1.222222222,TRUE
403,GPT-3,0,1,3,3,2,1,3,1,3,1,1,2,2.777777778,-0.777777778,TRUE
404,GPT-3,0,5,1,4,4,1,4,5,3,4,5,3.444444444,2.777777778,0.666666667,TRUE
405,Associated Press,1,3,1,3,3,3,3,2,4,3,3,2.777777778,2.777777778,0,
406,The Federalist,1,1,1,2,2,1,1,2,1,1,1,1.333333333,2.777777778,-1.444444444,
407,Vox,1,5,5,4,4,5,4,5,4,5,5,4.555555556,2.777777778,1.777777778,
501,GPT-3,0,1,3,1,2,1,2,2,2,1,1,1.666666667,4.333333333,-2.666666667,TRUE
502,Associated Press,1,3,4,5,4,4,4,5,4,5,4,4.333333333,4.333333333,0,
503,GPT-3,0,5,5,5,5,5,5,5,5,5,5,5,4.333333333,0.666666667,TRUE
504,Occupy Democrats,1,5,5,5,4,5,5,5,4,5,5,4.777777778,4.333333333,0.444444444,
505,GPT-3,0,1,1,1,1,1,1,1,1,1,1,1,4.333333333,-3.333333333,TRUE
506,Fox News,1,1,3,4,3,1,3,2,2,3,2,2.555555556,4.333333333,-1.777777778,
507,GPT-3,0,5,5,5,5,5,5,5,2,5,1,4.222222222,4.333333333,-0.111111111,FALSE